Feature,Mean |SHAP|
vol_60d,0.014080327
sma_50,0.006311849
sma_5,0.0056193206
vol_20d,0.0050707273
cum_ret_60d,0.004731161
macd_signal,0.0042840526
sma_20,0.0037100215
bb_width,0.003079931
sma_10,0.0029117593
price_vs_sma50,0.0023715883
vol_10d,0.0016905069
macd,0.0014325412
price_vs_sma20,0.001091874
macd_hist,0.0010693762
bb_pos,0.0009906731
cum_ret_20d,0.0009810412
cum_ret_5d,0.00094892184
rsi_14,0.00091652473
ret_lag1,0.00075493735
cum_ret_10d,0.00065275247
ret_lag20,0.0005178324
ret_lag2,0.0004141947
ret_lag3,0.0002543106
ret_lag10,0.0002173153
ret_lag5,0.00021648571
