Model,gamma,Ann. Return (%),Ann. Volatility (%),Net Sharpe,Max Drawdown (%),Ann. Turnover (%)
XGBoost,0.0,5.57,27.75,0.057,-54.01,404.8
XGBoost,0.0005,5.65,27.87,0.059,-53.37,390.2
XGBoost,0.001,6.0,27.93,0.072,-53.37,387.3
XGBoost,0.002,6.12,27.94,0.076,-53.37,381.5
XGBoost,0.005,8.97,28.08,0.177,-53.79,340.5
XGBoost,0.01,8.01,28.06,0.143,-57.51,293.7
RandomForest,0.0,13.02,27.66,0.326,-43.58,379.7
RandomForest,0.0005,13.08,27.79,0.327,-43.58,364.6
RandomForest,0.001,13.26,27.7,0.334,-43.58,358.0
RandomForest,0.002,12.51,27.8,0.306,-43.58,325.9
RandomForest,0.005,14.13,27.69,0.366,-43.58,313.2
RandomForest,0.01,16.16,27.88,0.436,-43.12,275.3
