Feature,Mean |SHAP|
vol_60d,0.008493565
cum_ret_60d,0.005614848
sma_50,0.005335453
sma_20,0.0038141247
price_vs_sma50,0.0037133892
vol_20d,0.0032346249
macd_signal,0.002762894
macd_hist,0.002235157
sma_5,0.002212124
bb_width,0.002188389
sma_10,0.001989107
cum_ret_20d,0.0017101137
macd,0.001196142
ret_lag10,0.0010060015
cum_ret_10d,0.0009559318
rsi_14,0.00090274226
ret_lag5,0.0008940919
vol_10d,0.00074868917
ret_lag20,0.00074439624
ret_lag1,0.00053993746
cum_ret_5d,0.00047783414
ret_lag2,0.00045408768
ret_lag3,0.00044846625
price_vs_sma20,0.0004458034
bb_pos,0.00041698842
