Model,gamma,Ann. Return (%),Ann. Volatility (%),Net Sharpe,Max Drawdown (%),Ann. Turnover (%)
XGBoost,0.0,-12.15,30.07,-0.537,-70.82,554.8
XGBoost,0.0005,-11.57,30.15,-0.516,-69.67,541.9
XGBoost,0.001,-11.25,30.12,-0.506,-68.97,535.2
XGBoost,0.002,-11.08,30.13,-0.5,-68.62,519.6
XGBoost,0.005,-9.18,30.19,-0.437,-64.33,465.8
XGBoost,0.01,-4.76,29.53,-0.297,-54.27,416.0
RandomForest,0.0,-11.12,29.7,-0.509,-66.79,501.3
RandomForest,0.0005,-11.44,29.75,-0.519,-67.03,491.2
RandomForest,0.001,-10.31,29.84,-0.48,-64.44,472.3
RandomForest,0.002,-10.34,29.82,-0.481,-64.5,454.1
RandomForest,0.005,-7.08,29.76,-0.372,-59.41,421.9
RandomForest,0.01,-3.21,29.68,-0.243,-59.27,357.4
